isFistula,year,lifeExp
0,1960,61.4
1,1960,42.3
0,1961,62.0
1,1961,42.7
0,1962,62.4
1,1962,43.1
0,1963,62.7
1,1963,43.5
0,1964,63.3
1,1964,44.0
0,1965,63.7
1,1965,44.4
0,1966,64.2
1,1966,44.8
0,1967,64.6
1,1967,45.2
0,1968,65.0
1,1968,45.7
0,1969,65.4
1,1969,46.1
0,1970,65.9
1,1970,46.6
0,1971,66.2
1,1971,47.0
0,1972,66.6
1,1972,47.4
0,1973,67.1
1,1973,47.8
0,1974,67.4
1,1974,48.1
0,1975,67.8
1,1975,48.5
0,1976,68.2
1,1976,48.9
0,1977,68.6
1,1977,49.3
0,1978,69.0
1,1978,49.7
0,1979,69.3
1,1979,50.3
0,1980,69.7
1,1980,50.8
0,1981,70.0
1,1981,51.3
0,1982,70.4
1,1982,51.8
0,1983,70.7
1,1983,52.3
0,1984,71.0
1,1984,52.7
0,1985,71.3
1,1985,53.1
0,1986,71.7
1,1986,53.4
0,1987,71.9
1,1987,53.7
0,1988,72.2
1,1988,53.8
0,1989,72.5
1,1989,54.0
0,1990,72.7
1,1990,54.1
0,1991,73.0
1,1991,54.1
0,1992,73.1
1,1992,54.2
0,1993,73.3
1,1993,54.2
0,1994,73.6
1,1994,54.3
0,1995,73.8
1,1995,54.4
0,1996,74.0
1,1996,54.6
0,1997,74.2
1,1997,54.7
0,1998,74.5
1,1998,54.9
0,1999,74.6
1,1999,55.1
0,2000,74.9
1,2000,55.3
0,2001,75.3
1,2001,55.6
0,2002,75.5
1,2002,55.9
0,2003,75.7
1,2003,56.4
0,2004,76.0
1,2004,56.9
0,2005,76.2
1,2005,57.5
0,2006,76.5
1,2006,58.2
0,2007,76.7
1,2007,58.9
0,2008,77.0
1,2008,59.6
0,2009,77.2
1,2009,60.3
0,2010,77.5
1,2010,61.0
0,2011,77.8
1,2011,61.7
0,2012,78.0
1,2012,62.3
0,2013,78.1
1,2013,62.9
0,2014,78.4
1,2014,63.4
0,2015,78.5
1,2015,63.9
0,2016,78.7
1,2016,64.3
